Student ID,Compiler,Language,Opinionn from the 6 phases of Compiler Design 
20-44127-2,codeblocks,C++,Semantic Analyzer
20-43021-1,codeblocks,C,Semantic Analyzer
18-38882-3,codeblocks,C++,Syntax Analysis
20-43009-1,codeblocks,C++,Syntax Analysis
20-42914-1,codeblocks,C++,Syntax Analysis
20-41983-1,codeblocks,C++,Semantic Analyzer
20-43834-2,codeblocks,C++,Syntax Analysis
20-42424-1,codeblocks,C,Syntax Analysis
20-42372-1,codeblocks,C,Syntax Analysis
20-41840-1,codeblocks,C,Semantic Analyzer
18-38492-2,codeblocks,C,Semantic Analyzer
19-39783-1,codeblocks,C,Syntax Analysis
20-42109-1,codeblocks,C++,Semantic Analyzer
17-34371-1,codeblocks,C,Syntax Analysis
20-42017-1,codeblocks,C++,Semantic Analyzer
20-42165-1,codeblocks,C,Semantic Analyzer
20-42173-1,codeblocks,C++,Syntax Analysis
20-42022-1,codeblocks,C++,Semantic Analyzer
20-42010-1,codeblocks,C++,Syntax Analysis
20-42139-1,codeblocks,C++,Syntax Analysis
20-42502-1,codeblocks,C++,Syntax Analysis
20-42108-1,codeblocks,C++,Semantic Analyzer
20-42040-1,codeblocks,C++,Syntax Analysis
19-41679-3,codeblocks,C++,Semantic Analyzer
20-42191-1,codeblocks,C++,Syntax Analysis
20-42211-1,codeblocks,C++,Syntax Analysis
20-42221-1,codeblocks,C++,Syntax Analysis
20-43451-1,codeblocks,C,Syntax Analysis
20-43249-1,codeblocks,C,Semantic Analyzer
20-43450-1,codeblocks,C,Syntax Analysis
20-42876-1,Programiz,C,Semantic Analyzer
20-44044-2,codeblocks,C,Syntax Analysis
20-44049-2,codeblocks,C++,Syntax Analysis
20-44060-2,codeblocks,C++,Semantic Analyzer
20-44090-2,codeblocks,C++,Syntax Analysis
20-44042-2,codeblocks,C++,Syntax Analysis
20-42010-1,codeblocks,C,Syntax Analysis
20-42143-1,codeblocks,C,Semantic Analyzer
